timestep,reward
339540,1.989
339950,1.944
340342,1.952
340811,2.076
341243,2.012
341630,2.3345
341963,2.0145
342373,1.8425
342756,2.1415
343177,2.0665
343575,2.0555
343963,2.049
344403,2.1745
344776,1.9075
345186,2.1285
345595,2.1315
346028,2.1195
346439,2.061
346873,1.879
347255,2.029
347614,1.8315
347991,1.979
348402,2.0925
348792,1.957
349171,2.0345
349558,1.96
349948,2.026
350344,1.9275
350757,1.967
351159,1.9055
351562,1.95
351946,1.9685
352335,2.0785
352655,1.9775
353029,1.8675
353426,1.853
353843,2.013
354257,1.8835
354642,2.043
354981,2.0405
355376,2.2205
355729,2.008
356167,2.0425
356548,1.993
356891,2.003
357284,2.353
357745,2.0045
358133,2.1255
358520,2.0635
358863,2.0145
359272,1.7755
359677,2.0365
360092,2.2845
360492,2.009
360915,2.1295
361320,2.0285
361702,1.97
362125,2.23
362503,2.1975
362919,2.0795
363379,2.113
363742,2.0225
364070,2.062
364437,2.1195
364835,2.0655
365194,2.165
365564,2.1885
365923,1.952
366336,2.16
366707,2.2585
367163,2.006
367570,2.2375
367999,2.109
368416,2.165
368827,2.006
369198,1.84
369579,2.123
369958,1.9295
370309,2.2355
370690,2.1535
371090,2.1285
371458,1.8745
371821,2.1095
372246,2.1565
372649,2.039
373062,2.142
373394,2.0105
373819,1.721
374130,1.993
374537,1.8975
374888,1.7785
375279,2.238
375677,1.9815
376067,2.13
376536,2.0195
376938,2.1065
377316,2.0875
377711,1.9395
378095,2.1045
378461,2.0135
378917,1.874
379341,2.01
379746,2.136
380110,1.7975
380495,2.233
380880,2.258
381269,2.0275
381625,2.1435
382057,2.176
382432,1.989
382837,1.811
383251,2.0435
383714,2.106
384100,2.005
384575,2.1405
384947,2.076
385339,1.8995
385733,1.816
386133,1.924
386499,1.975
386919,1.896
387335,1.9625
387680,2.0075
388085,1.962
